iter	Passed	Remaining
811	8370	1937
812	8379	1927
813	8389	1916
814	8399	1906
815	8408	1896
816	8418	1885
817	8429	1875
818	8440	1865
819	8450	1854
820	8460	1844
821	8470	1834
822	8480	1823
823	8490	1813
824	8501	1803
825	8510	1792
826	8520	1782
827	8530	1772
828	8539	1761
829	8549	1751
830	8558	1740
831	8569	1730
832	8578	1719
833	8588	1709
834	8598	1699
835	8608	1688
836	8618	1678
837	8628	1667
838	8638	1657
839	8647	1647
840	8657	1636
841	8667	1626
842	8677	1616
843	8686	1605
844	8696	1595
845	8706	1584
846	8716	1574
847	8726	1564
848	8735	1553
849	8745	1543
850	8755	1532
851	8765	1522
852	8776	1512
853	8786	1502
854	8796	1491
855	8806	1481
856	8816	1471
857	8826	1460
858	8836	1450
859	8846	1440
860	8856	1429
861	8866	1419
862	8876	1409
863	8886	1398
864	8895	1388
865	8906	1378
866	8916	1367
867	8926	1357
868	8936	1347
869	8946	1336
870	8956	1326
871	8966	1316
872	8976	1305
873	8986	1295
874	8996	1285
875	9005	1274
876	9015	1264
877	9024	1254
878	9035	1243
879	9045	1233
880	9054	1223
881	9064	1212
882	9073	1202
883	9083	1192
884	9093	1181
885	9103	1171
886	9113	1161
887	9123	1150
888	9132	1140
889	9142	1130
890	9152	1119
891	9162	1109
892	9172	1099
893	9182	1088
894	9191	1078
895	9200	1067
896	9210	1057
897	9221	1047
898	9231	1037
899	9241	1026
900	9251	1016
901	9261	1006
902	9272	996
903	9282	985
904	9292	975
905	9302	965
906	9312	954
907	9321	944
908	9331	934
909	9341	923
910	9350	913
911	9360	903
912	9369	892
913	9379	882
914	9389	872
915	9398	861
916	9408	851
917	9418	841
918	9428	831
919	9439	820
920	9449	810
921	9459	800
922	9469	789
923	9479	779
924	9488	769
925	9498	759
926	9508	748
927	9517	738
928	9527	728
929	9536	717
930	9546	707
931	9556	697
932	9565	686
933	9574	676
934	9584	666
935	9594	656
936	9603	645
937	9613	635
938	9623	625
939	9633	614
940	9643	604
941	9653	594
942	9663	584
943	9672	573
944	9682	563
945	9692	553
946	9701	542
947	9711	532
948	9720	522
949	9731	512
950	9741	501
951	9750	491
952	9760	481
953	9770	471
954	9780	460
955	9789	450
956	9799	440
957	9809	430
958	9819	419
959	9828	409
960	9838	399
961	9848	389
962	9858	378
963	9867	368
964	9877	358
965	9887	348
966	9897	337
967	9907	327
968	9917	317
969	9927	307
970	9936	296
971	9946	286
972	9956	276
973	9966	266
974	9976	255
975	9985	245
976	9995	235
977	10005	225
978	10015	214
979	10025	204
980	10035	194
981	10045	184
982	10055	173
983	10065	163
984	10075	153
985	10085	143
986	10094	132
987	10105	122
988	10114	112
989	10124	102
990	10134	92
991	10144	81
992	10153	71
993	10163	61
994	10173	51
995	10183	40
996	10193	30
997	10203	20
998	10213	10
999	10223	0
